KT_USC,WOJEWÓDZTWO,POWIAT,GMINA,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,OSKAR,MĘŻCZYZNA,4
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,EMIL,MĘŻCZYZNA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,FABIAN,MĘŻCZYZNA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,GABRIEL,MĘŻCZYZNA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,IGOR,MĘŻCZYZNA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,KSAWERY,MĘŻCZYZNA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,SZYMON,MĘŻCZYZNA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,TYMON,MĘŻCZYZNA,3
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,BOGDAN,MĘŻCZYZNA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,CEZARY,MĘŻCZYZNA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,DANIEL,MĘŻCZYZNA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,DAVID,MĘŻCZYZNA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,DOMINIK,MĘŻCZYZNA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,HUBERT,MĘŻCZYZNA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,KAROL,MĘŻCZYZNA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MIESZKO,MĘŻCZYZNA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MIKOŁAJ,MĘŻCZYZNA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,NATAN,MĘŻCZYZNA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,PAWEŁ,MĘŻCZYZNA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,PIOTR,MĘŻCZYZNA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,STANISŁAW,MĘŻCZYZNA,2
201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,WOJCIECH,MĘŻCZYZNA,2
201052,DOLNOŚLĄSKIE,BOLESŁAWIECKI,OSIECZNICA,AMELIA,KOBIETA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,MAJA,KOBIETA,9
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,ZUZANNA,KOBIETA,9
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,ZOFIA,KOBIETA,8
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,JULIA,KOBIETA,6
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,HELENA,KOBIETA,5
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,MARIA,KOBIETA,5
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,ALEKSANDRA,KOBIETA,4
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,EMILIA,KOBIETA,4
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,HANNA,KOBIETA,4
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,LAURA,KOBIETA,4
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,NADIA,KOBIETA,4
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,GABRIELA,KOBIETA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,LILIANA,KOBIETA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,LIWIA,KOBIETA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,MICHALINA,KOBIETA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,NEL,KOBIETA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,OLIWIA,KOBIETA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,POLA,KOBIETA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,APOLONIA,KOBIETA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,IGA,KOBIETA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,JAGODA,KOBIETA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,KINGA,KOBIETA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,KORNELIA,KOBIETA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,LENA,KOBIETA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,LIDIA,KOBIETA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,ŁUCJA,KOBIETA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,MATYLDA,KOBIETA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,NELA,KOBIETA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,ANTONI,MĘŻCZYZNA,11
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,FRANCISZEK,MĘŻCZYZNA,7
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,IGNACY,MĘŻCZYZNA,6
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,LEON,MĘŻCZYZNA,6
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,NIKODEM,MĘŻCZYZNA,6
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,JAKUB,MĘŻCZYZNA,5
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,JAN,MĘŻCZYZNA,5
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,MAKSYMILIAN,MĘŻCZYZNA,5
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,STANISŁAW,MĘŻCZYZNA,5
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,WOJCIECH,MĘŻCZYZNA,5
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,MIKOŁAJ,MĘŻCZYZNA,4
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,MIŁOSZ,MĘŻCZYZNA,4
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,TYMOTEUSZ,MĘŻCZYZNA,4
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,ALEKSANDER,MĘŻCZYZNA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,CEZARY,MĘŻCZYZNA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,GABRIEL,MĘŻCZYZNA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,KUBA,MĘŻCZYZNA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,OLIWIER,MĘŻCZYZNA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,PIOTR,MĘŻCZYZNA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,WIKTOR,MĘŻCZYZNA,3
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,BARTOSZ,MĘŻCZYZNA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,FILIP,MĘŻCZYZNA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,IGOR,MĘŻCZYZNA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,KACPER,MĘŻCZYZNA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,KAROL,MĘŻCZYZNA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,KORNEL,MĘŻCZYZNA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,MARCEL,MĘŻCZYZNA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,MARCIN,MĘŻCZYZNA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,MIESZKO,MĘŻCZYZNA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,MILAN,MĘŻCZYZNA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,OLIVIER,MĘŻCZYZNA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,OSKAR,MĘŻCZYZNA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,TADEUSZ,MĘŻCZYZNA,2
202021,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,TYMON,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ZUZANNA,KOBIETA,9
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,POLA,KOBIETA,8
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ZOFIA,KOBIETA,8
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ANTONINA,KOBIETA,7
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,HANNA,KOBIETA,7
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,IGA,KOBIETA,7
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,LILIANA,KOBIETA,7
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,MICHALINA,KOBIETA,7
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,AMELIA,KOBIETA,6
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,KAJA,KOBIETA,6
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,LAURA,KOBIETA,6
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,MAJA,KOBIETA,6
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,MARCELINA,KOBIETA,6
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,EMILIA,KOBIETA,5
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,MARIA,KOBIETA,5
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ANIELA,KOBIETA,4
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,HELENA,KOBIETA,4
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,JULIA,KOBIETA,4
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,LILIANNA,KOBIETA,4
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,OLIWIA,KOBIETA,4
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,WIKTORIA,KOBIETA,4
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ANNA,KOBIETA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,GAJA,KOBIETA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,KLARA,KOBIETA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,MIA,KOBIETA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,NEL,KOBIETA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ALEKSANDRA,KOBIETA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ALICJA,KOBIETA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ANASTAZJA,KOBIETA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ARIA,KOBIETA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,AURELIA,KOBIETA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ILONA,KOBIETA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,JAGODA,KOBIETA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,LENA,KOBIETA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,MAŁGORZATA,KOBIETA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,NIKOLA,KOBIETA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ROZALIA,KOBIETA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ZOJA,KOBIETA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,LEON,MĘŻCZYZNA,17
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,NIKODEM,MĘŻCZYZNA,13
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ANTONI,MĘŻCZYZNA,11
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,OLIWIER,MĘŻCZYZNA,9
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,FRANCISZEK,MĘŻCZYZNA,8
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,JAN,MĘŻCZYZNA,8
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ALEKSANDER,MĘŻCZYZNA,7
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,IGNACY,MĘŻCZYZNA,5
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,KACPER,MĘŻCZYZNA,5
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ALAN,MĘŻCZYZNA,4
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,BRUNO,MĘŻCZYZNA,4
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,FILIP,MĘŻCZYZNA,4
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,HUBERT,MĘŻCZYZNA,4
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,MIKOŁAJ,MĘŻCZYZNA,4
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,WIKTOR,MĘŻCZYZNA,4
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ADAM,MĘŻCZYZNA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,DAWID,MĘŻCZYZNA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,JAKUB,MĘŻCZYZNA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,JULIAN,MĘŻCZYZNA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,MARCEL,MĘŻCZYZNA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,MILAN,MĘŻCZYZNA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,PIOTR,MĘŻCZYZNA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,STANISŁAW,MĘŻCZYZNA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,TYMON,MĘŻCZYZNA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,TYMOTEUSZ,MĘŻCZYZNA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,WITOLD,MĘŻCZYZNA,3
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,ALEXANDER,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,CEZARY,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,KAJETAN,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,KAMIL,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,KORNEL,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,LEO,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,LIAM,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,MAKSYMILIAN,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,MATEUSZ,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,MIESZKO,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,MIŁOSZ,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,NATAN,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,NATANIEL,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,OSKAR,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,STEFAN,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,SZYMON,MĘŻCZYZNA,2
203011,DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,WOJCIECH,MĘŻCZYZNA,2
207011,DOLNOŚLĄSKIE,KAMIENNOGÓRSKI,KAMIENNA GÓRA,MAJA,KOBIETA,2
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,EMILIA,KOBIETA,5
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,WIKTORIA,KOBIETA,5
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,JULIA,KOBIETA,4
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,OLIWIA,KOBIETA,4
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,ALICJA,KOBIETA,3
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,AMELIA,KOBIETA,3
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,ANTONINA,KOBIETA,3
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,LENA,KOBIETA,3
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,MILENA,KOBIETA,3
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,ZUZANNA,KOBIETA,3
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,IGA,KOBIETA,2
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,KAJA,KOBIETA,2
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,KORNELIA,KOBIETA,2
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,LAURA,KOBIETA,2
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,MARCELINA,KOBIETA,2
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,MARIA,KOBIETA,2
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,MIA,KOBIETA,2
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,NIKOLA,KOBIETA,2
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,WERONIKA,KOBIETA,2
208021,DOLNOŚLĄSKIE,KŁODZKI,KŁODZKO,NIKODEM,MĘŻCZYZNA,6
